,Symbol,Security,GICS Sector,Headquarters Location
0,MMM,3M,Industrials,"Saint Paul, Minnesota"
1,ABT,Abbott Laboratories,Health Care,"North Chicago, Illinois"
2,ABBV,AbbVie,Health Care,"North Chicago, Illinois"
3,ABMD,Abiomed,Health Care,"Danvers, Massachusetts"
4,ACN,Accenture,Information Technology,"Dublin, Ireland"
5,ATVI,Activision Blizzard,Communication Services,"Santa Monica, California"
6,ADBE,Adobe,Information Technology,"San Jose, California"
7,AMD,Advanced Micro Devices,Information Technology,"Santa Clara, California"
8,AAP,Advance Auto Parts,Consumer Discretionary,"Raleigh, North Carolina"
9,AES,AES Corp,Utilities,"Arlington, Virginia"
10,AFL,Aflac,Financials,"Columbus, Georgia"
11,A,Agilent Technologies,Health Care,"Santa Clara, California"
12,APD,Air Products & Chemicals,Materials,"Allentown, Pennsylvania"
13,AKAM,Akamai Technologies,Information Technology,"Cambridge, Massachusetts"
14,ALK,Alaska Air Group,Industrials,"Seattle, Washington"
15,ALB,Albemarle Corporation,Materials,"Charlotte, North Carolina"
16,ARE,Alexandria Real Estate Equities,Real Estate,"Pasadena, California"
17,ALGN,Align Technology,Health Care,"San Jose, California"
18,ALLE,Allegion,Industrials,"New York City, New York"
19,LNT,Alliant Energy,Utilities,"Madison, Wisconsin"
20,ALL,Allstate Corp,Financials,"Northfield Township, Illinois"
21,GOOGL,Alphabet (Class A),Communication Services,"Mountain View, California"
22,GOOG,Alphabet (Class C),Communication Services,"Mountain View, California"
23,MO,Altria Group,Consumer Staples,"Richmond, Virginia"
24,AMZN,Amazon,Consumer Discretionary,"Seattle, Washington"
25,AMCR,Amcor,Materials,"Zurich, Switzerland"
26,AEE,Ameren Corp,Utilities,"St. Louis, Missouri"
27,AAL,American Airlines Group,Industrials,"Fort Worth, Texas"
28,AEP,American Electric Power,Utilities,"Columbus, Ohio"
29,AXP,American Express,Financials,"New York City, New York"
30,AIG,American International Group,Financials,"New York City, New York"
31,AMT,American Tower,Real Estate,"Boston, Massachusetts"
32,AWK,American Water Works,Utilities,"Camden, New Jersey"
33,AMP,Ameriprise Financial,Financials,"Minneapolis, Minnesota"
34,ABC,AmerisourceBergen,Health Care,"Chesterbrook, Pennsylvania"
35,AME,Ametek,Industrials,"Berwyn, Pennsylvania"
36,AMGN,Amgen,Health Care,"Thousand Oaks, California"
37,APH,Amphenol,Information Technology,"Wallingford, Connecticut"
38,ADI,Analog Devices,Information Technology,"Wilmington, Massachusetts"
39,ANSS,Ansys,Information Technology,"Canonsburg, Pennsylvania"
40,ANTM,Anthem,Health Care,"Indianapolis, Indiana"
41,AON,Aon,Financials,"London, UK"
42,AOS,A. O. Smith,Industrials,"Milwaukee, Wisconsin"
43,APA,APA Corporation,Energy,"Houston, Texas"
44,AAPL,Apple,Information Technology,"Cupertino, California"
45,AMAT,Applied Materials,Information Technology,"Santa Clara, California"
46,APTV,Aptiv,Consumer Discretionary,"Dublin, Ireland"
47,ADM,ADM,Consumer Staples,"Chicago, Illinois"
48,ANET,Arista Networks,Information Technology,"Santa Clara, California"
49,AJG,Arthur J. Gallagher & Co.,Financials,"Rolling Meadows, Illinois"
50,AIZ,Assurant,Financials,"New York City, New York"
51,T,AT&T,Communication Services,"Dallas, Texas"
52,ATO,Atmos Energy,Utilities,"Dallas, Texas"
53,ADSK,Autodesk,Information Technology,"San Rafael, California"
54,ADP,Automatic Data Processing,Information Technology,"Roseland, New Jersey"
55,AZO,AutoZone,Consumer Discretionary,"Memphis, Tennessee"
56,AVB,AvalonBay Communities,Real Estate,"Arlington, Virginia[3]"
57,AVY,Avery Dennison,Materials,"Glendale, California"
58,BKR,Baker Hughes,Energy,"Houston, Texas"
59,BLL,Ball Corp,Materials,"Broomfield, Colorado"
60,BAC,Bank of America,Financials,"Charlotte, North Carolina"
61,BBWI,Bath & Body Works,Consumer Discretionary,"Columbus, Ohio"
62,BAX,Baxter International,Health Care,"Deerfield, Illinois"
63,BDX,Becton Dickinson,Health Care,"Franklin Lakes, New Jersey"
64,BRK-B,Berkshire Hathaway,Financials,"Omaha, Nebraska"
65,BBY,Best Buy,Consumer Discretionary,"Richfield, Minnesota"
66,BIO,Bio-Rad Laboratories,Health Care,"Hercules, California"
67,TECH,Bio-Techne,Health Care,"Minneapolis, Minnesota"
68,BIIB,Biogen,Health Care,"Cambridge, Massachusetts"
69,BLK,BlackRock,Financials,"New York City, New York"
70,BK,BNY Mellon,Financials,"New York City, New York"
71,BA,Boeing,Industrials,"Chicago, Illinois"
72,BKNG,Booking Holdings,Consumer Discretionary,"Norwalk, Connecticut"
73,BWA,BorgWarner,Consumer Discretionary,"Auburn Hills, Michigan"
74,BXP,Boston Properties,Real Estate,"Boston, Massachusetts"
75,BSX,Boston Scientific,Health Care,"Marlborough, Massachusetts[4]"
76,BMY,Bristol Myers Squibb,Health Care,"New York City, New York"
77,AVGO,Broadcom,Information Technology,"San Jose, California"
78,BR,Broadridge Financial Solutions,Information Technology,"Lake Success, New York"
79,BRO,Brown & Brown,Financials,"Daytona Beach, Florida"
80,BF-B,Brown–Forman,Consumer Staples,"Louisville, Kentucky"
81,CHRW,C. H. Robinson,Industrials,"Eden Prairie, Minnesota"
82,CDNS,Cadence Design Systems,Information Technology,"San Jose, California"
83,CZR,Caesars Entertainment,Consumer Discretionary,"Reno, Nevada"
84,CPB,Campbell Soup,Consumer Staples,"Camden, New Jersey"
85,COF,Capital One,Financials,"Tysons Corner, Virginia"
86,CAH,Cardinal Health,Health Care,"Dublin, Ohio"
87,KMX,CarMax,Consumer Discretionary,"Richmond, Virginia"
88,CCL,Carnival Corporation,Consumer Discretionary,"Miami, Florida"
89,CARR,Carrier Global,Industrials,"Palm Beach Gardens, Florida"
90,CTLT,Catalent,Health Care,"Somerset, New Jersey"
91,CAT,Caterpillar,Industrials,"Deerfield, Illinois"
92,CBOE,Cboe Global Markets,Financials,"Chicago, Illinois"
93,CBRE,CBRE,Real Estate,"Dallas, Texas"
94,CDW,CDW,Information Technology,"Lincolnshire, Illinois"
95,CE,Celanese,Materials,"Irving, Texas"
96,CNC,Centene,Health Care,"St. Louis, Missouri"
97,CNP,CenterPoint Energy,Utilities,"Houston, Texas"
98,CDAY,Ceridian,Information Technology,"Minneapolis, Minnesota"
99,CERN,Cerner,Health Care,"North Kansas City, Missouri"
100,CF,CF Industries,Materials,"Deerfield, Illinois"
101,CRL,Charles River Laboratories,Health Care,"Wilmington, Massachusetts"
102,SCHW,Charles Schwab,Financials,"Westlake, Texas"
103,CHTR,Charter Communications,Communication Services,"Stamford, Connecticut"
104,CVX,Chevron,Energy,"San Ramon, California"
105,CMG,Chipotle Mexican Grill,Consumer Discretionary,"Newport Beach, California"
106,CB,Chubb,Financials,"Zurich, Switzerland"
107,CHD,Church & Dwight,Consumer Staples,"Ewing, New Jersey"
108,CI,Cigna,Health Care,"Bloomfield, Connecticut"
109,CINF,Cincinnati Financial,Financials,"Fairfield, Ohio"
110,CTAS,Cintas Corporation,Industrials,"Mason, Ohio"
111,CSCO,Cisco Systems,Information Technology,"San Jose, California"
112,C,Citigroup,Financials,"New York City, New York"
113,CFG,Citizens Financial Group,Financials,"Providence, Rhode Island"
114,CTXS,Citrix Systems,Information Technology,"Fort Lauderdale, Florida"
115,CLX,Clorox,Consumer Staples,"Oakland, California"
116,CME,CME Group,Financials,"Chicago, Illinois"
